Id;FirstName;LastName;DNI;Birthdate;Email
1;JUAN VICENTE;SALCEDO IGLESIAS;84744788T;05/11/1999;4mybvu7s@mail.com
2;ANTONIO MIGUEL;PAREDES CASTELLANO;29921440G;03/05/1965;30ia2hrz2g@scientist.com
3;LAIA;AZNAR SAINZ;88525399D;24/05/1957;qh6k3zrg@lycos.co.uk
4;AITOR;ARANDA TOMAS;82151217R;07/07/1983;uxl8a1s46@lycos.es
5;JUAN PEDRO;DE MIGUEL GUTIERREZ;11230448P;11/09/1994;lr88a359r@whoever.com
6;UNAI;VIDAL MORAL;14799751X;02/09/1957;04ibwsu700@journalism.com
7;MANUEL ANGEL;SASTRE HUERTA;27257744F;25/01/2000;hztvgcnq4@post.com
8;CARLOTA;RODRIGUEZ ARRIBAS;58965147R;01/05/1974;tif9thu4o@caramail.com
9;LEIRE;TRUJILLO PORRAS;32967613B;25/01/1966;4pjk44sqw@techie.com
10;ANA;MARTINEZ SECARRAL;11122233Z;01/01/2001;a23123@techie.es
